,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTD,Year,Conference,Playoffs,Championship
0,Cleveland Cavaliers,82,66,16,0.805,48.2,100.3,36.9,78.7,46.8,8.0,20.4,39.3,18.6,24.5,75.7,10.8,31.4,42.2,20.3,12.7,7.2,5.3,4.1,20.3,20.3,8.9,2008,Eastern,1,0
1,Los Angeles Lakers,82,65,17,0.7929999999999999,48.2,106.9,40.3,85.1,47.4,6.7,18.5,36.1,19.6,25.5,77.0,12.4,31.5,43.9,23.3,13.5,8.8,5.1,4.8,20.7,22.1,7.7,2008,Western,1,1
2,Boston Celtics,82,62,20,0.7559999999999999,48.5,100.9,37.5,77.2,48.6,6.6,16.5,39.7,19.4,25.3,76.5,10.6,31.5,42.1,22.7,15.6,7.6,4.7,4.7,23.1,22.2,7.5,2008,Eastern,1,0
3,Orlando Magic,82,59,23,0.72,48.1,101.0,35.7,78.2,45.7,10.0,26.2,38.1,19.6,27.5,71.5,10.0,33.3,43.3,19.4,13.9,7.0,5.4,3.8,20.3,22.4,6.7,2008,Eastern,1,0
4,Denver Nuggets,82,54,28,0.659,48.1,104.3,37.3,79.4,47.0,6.7,18.0,37.1,23.1,30.3,76.0,11.0,30.6,41.6,22.2,15.3,8.7,6.0,5.5,22.9,23.7,3.4,2008,Western,1,0
5,Portland Trail Blazers,82,54,28,0.659,48.4,99.4,36.8,79.2,46.5,7.3,19.0,38.3,18.5,24.2,76.5,12.9,28.8,41.7,20.3,12.9,6.7,4.9,3.9,20.4,21.1,5.3,2008,Western,1,0
6,San Antonio Spurs,82,54,28,0.659,48.5,97.0,37.1,79.7,46.6,7.6,19.8,38.6,15.2,20.0,76.1,8.9,32.2,41.0,21.2,11.7,5.8,4.0,4.3,18.9,18.4,3.8,2008,Western,1,0
7,Houston Rockets,82,53,29,0.6459999999999999,48.3,98.4,36.1,79.6,45.3,7.6,20.2,37.5,18.7,23.2,80.5,10.5,32.5,43.0,20.3,14.1,6.7,4.3,5.3,18.9,20.6,4.0,2008,Western,1,0
8,Dallas Mavericks,82,50,32,0.61,48.3,101.7,38.1,82.6,46.2,7.0,19.9,35.0,18.5,22.6,81.9,11.1,31.6,42.7,21.7,12.7,7.2,5.2,4.1,19.5,20.1,2.0,2008,Western,1,0
9,New Orleans Pelicans,82,49,33,0.598,48.2,95.8,35.5,77.6,45.7,6.8,18.6,36.4,18.0,22.4,80.7,9.8,29.9,39.7,19.6,12.5,7.2,4.1,3.5,20.3,20.4,1.5,2008,Western,1,0
10,Utah Jazz,82,48,34,0.585,48.5,103.6,38.3,80.8,47.5,4.8,13.7,34.9,22.1,28.7,77.1,11.5,29.5,41.0,24.7,14.8,8.8,4.6,5.2,22.3,24.0,2.6,2008,Western,1,0
11,Atlanta Hawks,82,47,35,0.573,48.1,98.1,36.0,78.7,45.8,7.3,19.9,36.6,18.7,25.4,73.7,10.6,29.4,40.0,20.2,12.8,7.4,4.6,4.3,19.6,20.5,1.6,2008,Eastern,1,0
12,Phoenix Suns,82,46,36,0.561,48.2,109.4,41.1,81.6,50.4,6.7,17.6,38.3,20.4,27.5,74.4,11.0,30.7,41.7,23.2,15.7,7.2,5.1,4.5,20.6,22.9,1.9,2008,Western,0,0
13,Miami Heat,82,43,39,0.524,48.7,98.3,37.0,81.0,45.7,7.1,19.9,35.7,17.2,22.8,75.4,10.1,29.4,39.5,20.4,12.5,7.9,5.5,4.1,20.7,19.9,0.3,2008,Eastern,1,0
14,Chicago Bulls,82,41,41,0.5,48.6,102.2,38.1,83.5,45.7,6.0,15.8,38.1,19.9,25.0,79.6,11.8,30.3,42.1,21.1,14.5,7.5,5.5,5.5,20.8,20.8,-0.3,2008,Eastern,1,0
15,Philadelphia 76ers,82,41,41,0.5,48.2,97.4,36.5,79.7,45.9,4.2,13.1,31.8,20.1,27.0,74.5,12.7,28.5,41.2,20.1,14.1,8.0,5.1,4.9,20.1,21.8,0.1,2008,Eastern,1,0
16,Detroit Pistons,82,39,43,0.47600000000000003,48.5,94.2,36.4,80.0,45.4,4.6,13.2,34.9,16.9,22.5,75.1,11.6,29.9,41.4,20.6,11.9,6.0,4.6,4.2,20.9,19.7,-0.5,2008,Eastern,1,0
17,Indiana Pacers,82,36,46,0.439,48.4,105.1,39.3,86.3,45.5,8.0,21.0,37.8,18.6,23.0,80.7,11.3,32.5,43.7,21.6,14.5,7.0,5.3,5.4,23.1,20.6,-1.1,2008,Eastern,0,0
18,Charlotte Hornets,82,35,47,0.42700000000000005,48.6,93.6,35.0,76.8,45.5,6.0,16.3,36.6,17.7,24.0,74.0,10.8,28.9,39.7,21.2,15.6,7.1,4.8,6.0,21.4,20.9,-1.3,2008,Eastern,0,0
19,Brooklyn Nets,82,34,48,0.415,48.4,98.1,35.7,79.7,44.8,8.0,21.2,37.6,18.8,24.1,77.9,10.4,29.5,39.8,20.0,13.1,6.8,4.8,4.8,22.4,20.5,-2.4,2008,Eastern,0,0
20,Milwaukee Bucks,82,34,48,0.415,48.2,99.3,36.7,82.4,44.5,6.2,17.2,36.3,19.7,25.2,78.0,11.9,28.9,40.7,22.0,14.1,7.4,3.8,4.6,24.2,22.5,-1.1,2008,Eastern,0,0
21,Toronto Raptors,82,33,49,0.402,48.3,99.0,37.2,81.4,45.8,5.8,15.7,37.2,18.7,22.7,82.4,9.8,30.6,40.4,22.4,13.4,6.4,4.8,4.7,19.4,20.1,-2.8,2008,Eastern,0,0
22,New York Knicks,82,32,50,0.39,48.3,105.2,38.5,86.5,44.5,10.0,27.9,36.0,18.2,23.2,78.4,11.1,31.0,42.1,21.2,14.3,7.4,2.5,5.3,20.4,19.4,-2.6,2008,Eastern,0,0
23,Golden State Warriors,82,29,53,0.354,48.5,108.6,39.4,86.0,45.8,6.7,18.0,37.3,23.1,29.2,79.1,11.6,30.4,42.0,20.9,14.6,7.8,6.4,5.0,22.5,23.5,-3.7,2008,Western,0,0
24,Minnesota Timberwolves,82,24,58,0.293,48.3,97.8,36.4,82.5,44.1,6.6,18.8,35.3,18.3,23.9,76.9,11.9,29.8,41.7,20.4,14.2,6.2,3.9,5.9,21.8,20.0,-4.9,2008,Western,0,0
25,Memphis Grizzlies,82,24,58,0.293,48.3,93.9,34.9,77.0,45.4,4.9,13.5,36.0,19.1,25.3,75.6,10.3,28.5,38.8,17.4,15.3,7.5,4.7,5.4,21.7,21.8,-5.5,2008,Western,0,0
26,Oklahoma City Thunder,82,23,59,0.28,48.3,97.0,36.6,81.9,44.7,4.0,11.6,34.6,19.8,25.2,78.6,12.2,30.5,42.6,20.3,16.2,7.4,4.5,5.0,20.2,20.2,-6.1,2008,Western,0,0
27,Los Angeles Clippers,82,19,63,0.23199999999999998,48.5,95.1,36.0,81.7,44.1,6.5,18.5,35.4,16.5,22.4,73.6,10.9,29.0,39.8,21.0,14.9,7.0,5.9,5.0,20.1,19.6,-8.8,2008,Western,0,0
28,Washington Wizards,82,19,63,0.23199999999999998,48.1,96.1,36.5,81.2,45.0,4.8,14.6,33.0,18.2,23.8,76.7,11.7,28.4,40.1,20.0,14.0,7.5,4.5,5.3,20.5,20.0,-7.5,2008,Eastern,0,0
29,Sacramento Kings,82,17,65,0.207,48.5,100.6,36.5,81.5,44.7,7.1,19.4,36.8,20.5,25.7,79.8,10.2,28.9,39.1,19.7,15.4,6.9,4.3,5.2,23.3,21.2,-8.8,2008,Western,0,0
30,Cleveland Cavaliers,82,61,21,0.7440000000000001,48.2,102.1,37.8,77.9,48.5,7.3,19.3,38.1,19.1,26.6,72.0,9.6,32.8,42.5,22.4,13.9,6.9,5.2,4.0,19.4,20.8,6.5,2009,Eastern,1,0
31,Orlando Magic,82,59,23,0.72,48.1,102.8,36.6,78.0,47.0,10.3,27.3,37.5,19.2,26.5,72.4,9.9,33.4,43.2,19.7,14.1,6.2,5.6,3.5,19.9,22.2,7.5,2009,Eastern,1,0
32,Los Angeles Lakers,82,57,25,0.695,48.4,101.7,38.3,83.8,45.7,6.5,19.0,34.1,18.5,24.2,76.5,11.9,32.5,44.3,21.1,13.4,7.5,4.9,4.4,19.4,21.2,4.7,2009,Western,1,1
33,Dallas Mavericks,82,55,27,0.6709999999999999,48.5,102.0,38.3,82.4,46.4,6.8,18.3,37.2,18.6,22.8,81.6,10.2,31.5,41.7,23.4,12.9,7.6,5.5,4.1,19.1,20.1,2.7,2009,Western,1,0
34,Phoenix Suns,82,54,28,0.659,48.1,110.2,40.7,82.8,49.2,8.9,21.6,41.2,19.9,25.8,77.0,11.1,31.9,43.0,23.3,14.8,5.8,5.1,4.5,20.9,21.8,4.9,2009,Western,1,0
35,Atlanta Hawks,82,53,29,0.6459999999999999,48.4,101.7,38.8,82.9,46.8,6.4,17.7,36.0,17.7,23.3,75.9,11.8,29.9,41.7,21.8,12.0,7.2,5.0,4.4,19.9,19.3,4.7,2009,Eastern,1,0
36,Denver Nuggets,82,53,29,0.6459999999999999,48.2,106.5,38.1,81.4,46.8,6.6,18.5,35.9,23.6,30.6,77.2,10.8,30.5,41.4,21.0,13.9,8.3,5.1,5.3,22.5,23.7,4.1,2009,Western,1,0
37,Utah Jazz,82,53,29,0.6459999999999999,48.2,104.2,39.4,80.2,49.1,5.4,14.7,36.4,20.2,27.2,74.1,10.6,31.6,42.2,26.7,15.2,8.2,4.9,5.4,22.7,22.2,5.3,2009,Western,1,0
38,San Antonio Spurs,82,50,32,0.61,48.2,101.4,38.4,81.2,47.3,6.8,18.9,35.8,17.8,24.0,74.0,10.8,32.0,42.8,22.3,13.6,6.3,4.6,5.1,20.4,20.4,5.1,2009,Western,1,0
39,Oklahoma City Thunder,82,50,32,0.61,48.3,101.5,37.4,80.8,46.2,5.1,15.0,34.0,21.7,27.0,80.5,11.7,31.8,43.5,20.0,15.0,8.0,5.9,4.7,21.3,21.4,3.5,2009,Western,1,0
40,Boston Celtics,82,50,32,0.61,48.2,99.2,37.1,76.8,48.3,6.1,17.5,34.8,19.0,25.5,74.6,8.7,29.9,38.6,23.5,14.9,8.5,4.9,4.7,22.1,21.7,3.7,2009,Eastern,1,0
41,Portland Trail Blazers,82,50,32,0.61,48.4,98.1,36.3,78.7,46.1,6.0,16.9,35.4,19.6,24.8,79.0,11.1,29.1,40.2,20.4,12.3,6.4,4.3,4.1,20.9,21.5,3.3,2009,Western,1,0
42,Miami Heat,82,47,35,0.573,48.5,96.5,36.4,79.5,45.8,6.0,17.4,34.6,17.7,23.5,75.2,10.7,31.1,41.8,18.9,13.2,7.4,5.6,4.3,20.9,20.0,2.3,2009,Eastern,1,0
43,Milwaukee Bucks,82,46,36,0.561,48.7,97.7,37.2,85.3,43.6,7.9,22.1,35.6,15.4,20.4,75.5,11.8,31.2,43.0,21.2,13.2,7.1,4.7,5.1,22.2,20.3,1.7,2009,Eastern,1,0
44,Charlotte Hornets,82,44,38,0.537,48.5,95.3,34.9,76.9,45.3,5.6,16.2,34.6,20.0,26.6,75.1,10.5,30.4,40.8,20.2,15.7,7.7,5.4,6.1,19.5,22.0,1.5,2009,Eastern,1,0
45,Houston Rockets,82,42,40,0.512,48.5,102.4,37.7,84.4,44.7,7.9,22.4,35.1,19.0,24.7,77.2,11.8,30.1,42.0,21.8,14.5,7.1,3.9,6.5,20.9,22.4,-0.4,2009,Western,0,0
46,Chicago Bulls,82,41,41,0.5,48.5,97.5,37.6,83.2,45.1,4.3,13.0,33.0,18.0,23.9,75.4,11.4,33.1,44.5,20.8,14.3,6.5,5.8,5.3,20.1,20.0,-1.6,2009,Eastern,1,0
47,Memphis Grizzlies,82,40,42,0.488,48.5,102.5,39.3,83.8,46.9,4.2,12.4,33.7,19.7,26.9,73.3,13.0,30.4,43.5,18.8,15.2,7.9,4.9,6.1,20.2,22.4,-1.5,2009,Western,0,0
48,Toronto Raptors,82,40,42,0.488,48.2,104.1,39.0,80.9,48.2,6.3,17.0,37.1,19.7,25.8,76.4,9.8,30.6,40.4,22.0,13.4,5.7,4.7,4.4,22.2,21.1,-1.8,2009,Eastern,0,0
49,New Orleans Pelicans,82,37,45,0.451,48.4,100.2,38.8,83.4,46.4,7.0,19.2,36.3,15.8,20.3,77.8,10.4,29.9,40.3,22.3,13.5,7.6,3.7,4.5,19.6,19.5,-2.5,2009,Western,0,0
50,Indiana Pacers,82,32,50,0.39,48.1,100.8,36.8,83.2,44.3,8.0,23.1,34.8,19.1,24.6,77.5,9.6,31.9,41.5,21.1,15.0,7.1,5.4,5.0,22.5,20.8,-3.0,2009,Eastern,0,0
51,New York Knicks,82,29,53,0.354,48.5,102.1,38.1,83.9,45.5,9.1,26.2,34.6,16.8,21.5,78.2,10.2,30.2,40.4,21.6,14.0,7.1,3.7,4.5,20.0,19.2,-3.8,2009,Eastern,0,0
52,Los Angeles Clippers,82,29,53,0.354,48.1,95.7,36.6,80.5,45.5,5.9,17.8,33.2,16.6,22.8,73.0,11.3,30.5,41.8,22.1,15.7,6.5,5.7,4.4,19.3,19.4,-6.4,2009,Western,0,0
53,Philadelphia 76ers,82,27,55,0.32899999999999996,48.3,97.7,37.6,81.8,46.0,5.8,16.8,34.3,16.7,22.0,75.6,11.5,29.5,41.0,21.0,14.5,8.1,5.4,4.0,20.5,18.7,-3.9,2009,Eastern,0,0
54,Detroit Pistons,82,27,55,0.32899999999999996,48.2,94.0,35.9,80.5,44.5,4.6,14.5,31.4,17.7,24.4,72.8,12.8,27.3,40.2,19.4,13.4,7.3,3.8,4.9,22.2,20.8,-5.1,2009,Eastern,0,0
55,Golden State Warriors,82,26,56,0.317,48.1,108.8,40.6,86.5,46.9,7.7,20.6,37.5,19.9,25.4,78.2,9.2,29.2,38.4,22.4,14.7,9.3,4.1,5.0,23.0,21.4,-3.6,2009,Western,0,0
56,Washington Wizards,82,26,56,0.317,48.4,96.2,36.7,81.7,44.9,5.3,14.9,35.3,17.6,23.1,76.2,11.8,30.0,41.8,19.0,14.9,6.0,5.1,5.1,21.4,20.5,-4.8,2009,Eastern,0,0
57,Sacramento Kings,82,25,57,0.305,48.5,100.0,38.3,84.1,45.6,5.9,16.9,34.9,17.4,24.0,72.6,11.9,30.7,42.6,20.5,15.0,6.9,4.5,5.7,22.3,20.1,-4.4,2009,Western,0,0
58,Minnesota Timberwolves,82,15,67,0.183,48.2,98.2,37.9,84.4,44.9,4.9,14.4,34.1,17.5,23.5,74.6,11.7,31.2,42.9,19.8,16.3,7.3,3.7,5.4,20.7,20.6,-9.6,2009,Western,0,0
59,Brooklyn Nets,82,12,70,0.146,48.2,92.4,34.3,79.9,42.9,4.6,14.5,31.8,19.2,24.6,78.0,10.9,28.8,39.7,18.8,14.4,7.0,4.8,5.1,20.0,20.1,-9.1,2009,Eastern,0,0
60,Chicago Bulls,82,62,20,0.7559999999999999,48.4,98.6,37.1,80.3,46.2,6.2,17.3,36.1,18.2,24.5,74.3,11.8,32.4,44.2,22.3,14.2,7.2,5.7,5.8,20.0,20.1,7.3,2010,Eastern,1,0
61,San Antonio Spurs,82,61,21,0.7440000000000001,48.2,103.7,38.4,80.8,47.5,8.4,21.1,39.7,18.5,24.2,76.7,10.1,31.7,41.9,22.4,13.4,7.3,4.5,4.6,19.0,20.7,5.7,2010,Western,1,0
62,Miami Heat,82,58,24,0.7070000000000001,48.2,102.1,37.0,76.8,48.1,6.7,18.0,37.0,21.5,27.9,76.9,9.6,32.5,42.1,20.0,13.9,6.6,5.2,3.0,20.4,21.8,7.5,2010,Eastern,1,0
63,Dallas Mavericks,82,57,25,0.695,48.1,100.2,37.4,78.8,47.5,7.9,21.6,36.5,17.5,22.6,77.7,9.5,31.9,41.4,23.8,14.0,6.8,4.3,3.7,19.2,20.1,4.2,2010,Western,1,1
64,Los Angeles Lakers,82,57,25,0.695,48.4,101.5,38.1,82.4,46.3,6.4,18.1,35.2,18.8,24.1,77.9,12.1,31.9,44.0,22.0,13.1,7.3,5.1,4.5,19.0,20.7,6.1,2010,Western,1,0
65,Boston Celtics,82,56,26,0.6829999999999999,48.2,96.5,36.9,75.8,48.6,5.0,13.6,36.5,17.8,23.1,77.0,7.8,31.0,38.8,23.4,14.6,8.2,4.2,4.4,20.5,20.2,5.4,2010,Eastern,1,0
66,Oklahoma City Thunder,82,55,27,0.6709999999999999,48.8,104.8,37.4,80.6,46.4,5.9,17.1,34.7,24.1,29.3,82.3,11.0,31.8,42.8,20.4,14.1,8.0,5.9,4.3,22.4,21.5,3.8,2010,Western,1,0
67,Orlando Magic,82,52,30,0.634,48.4,99.2,36.0,78.2,46.1,9.4,25.6,36.6,17.7,25.6,69.2,10.5,32.7,43.2,20.0,14.9,6.7,4.7,3.8,20.0,21.8,5.5,2010,Eastern,1,0
68,Denver Nuggets,82,50,32,0.61,48.1,107.5,38.4,80.6,47.6,8.1,20.8,38.8,22.7,29.6,76.5,9.6,32.3,42.0,22.1,14.1,7.4,4.3,6.0,21.0,22.7,4.8,2010,Western,1,0
69,Portland Trail Blazers,82,48,34,0.585,48.3,96.3,36.0,80.5,44.7,6.3,18.3,34.5,18.0,22.4,80.4,12.1,27.2,39.3,21.2,13.0,8.0,4.4,4.1,19.3,21.3,1.5,2010,Western,1,0
70,Memphis Grizzlies,82,46,36,0.561,48.5,99.9,39.0,82.9,47.1,3.8,11.3,33.4,18.1,24.2,75.0,11.8,29.2,41.0,20.6,14.0,9.4,5.4,6.2,20.8,21.4,2.3,2010,Western,1,0
71,New Orleans Pelicans,82,46,36,0.561,48.4,94.9,35.9,78.2,45.9,5.4,15.0,36.0,17.7,23.1,76.5,10.0,30.1,40.1,20.6,13.0,7.6,4.4,4.8,21.0,20.4,0.9,2010,Western,1,0
72,Atlanta Hawks,82,44,38,0.537,48.1,95.0,36.2,78.4,46.2,6.1,17.4,35.2,16.4,21.1,77.9,9.3,30.0,39.3,22.0,13.6,6.1,4.2,4.2,19.0,18.5,-0.8,2010,Eastern,1,0
73,Houston Rockets,82,43,39,0.524,48.5,105.9,38.7,85.1,45.4,8.3,22.5,36.7,20.3,25.4,80.1,11.7,31.1,42.8,23.8,13.5,7.1,4.5,5.5,20.0,21.4,2.2,2010,Western,0,0
74,New York Knicks,82,42,40,0.512,48.2,106.5,38.3,83.7,45.7,9.3,25.4,36.8,20.6,25.5,80.9,10.3,30.1,40.5,21.4,13.7,7.6,5.8,4.4,21.3,20.8,0.8,2010,Eastern,1,0
75,Philadelphia 76ers,82,41,41,0.5,48.6,99.0,38.1,82.6,46.1,5.4,15.2,35.5,17.4,22.6,77.0,10.4,31.4,41.8,22.7,13.0,7.6,4.3,4.6,19.4,18.8,1.5,2010,Eastern,1,0
76,Phoenix Suns,82,40,42,0.488,48.8,105.0,39.3,83.5,47.0,8.5,22.6,37.7,18.0,23.6,75.9,10.0,30.2,40.2,23.7,14.3,6.6,4.4,4.3,20.3,21.2,-0.9,2010,Western,0,0
77,Utah Jazz,82,39,43,0.47600000000000003,48.5,99.4,37.4,80.4,46.5,5.3,15.3,34.6,19.4,25.1,77.1,11.0,28.5,39.5,23.4,14.3,7.7,5.9,5.0,22.7,22.0,-1.8,2010,Western,0,0
78,Indiana Pacers,82,37,45,0.451,48.2,99.8,36.6,82.8,44.2,7.1,20.2,35.4,19.4,24.8,78.2,11.1,32.4,43.5,19.6,15.4,7.1,5.6,5.7,21.7,21.4,-1.1,2010,Eastern,1,0
79,Golden State Warriors,82,36,46,0.439,48.4,103.4,39.6,85.9,46.1,8.4,21.3,39.2,15.7,20.7,76.1,11.6,28.9,40.5,22.5,14.6,9.0,5.0,4.3,22.0,18.4,-2.3,2010,Western,0,0
80,Milwaukee Bucks,82,35,47,0.42700000000000005,48.4,91.9,34.3,79.8,43.0,5.9,17.2,34.2,17.4,22.9,75.7,10.5,30.2,40.8,18.8,13.5,7.5,4.9,4.8,20.5,20.7,-0.8,2010,Eastern,0,0
81,Charlotte Hornets,82,34,48,0.415,48.3,93.3,35.0,77.6,45.1,4.8,14.7,32.7,18.4,24.4,75.6,10.3,29.8,40.1,21.1,14.5,6.4,5.3,6.0,20.0,21.1,-4.0,2010,Eastern,0,0
82,Los Angeles Clippers,82,32,50,0.39,48.4,98.6,36.8,80.4,45.7,6.3,18.5,33.8,18.9,26.7,70.7,11.6,30.5,42.1,22.1,16.4,7.1,4.9,4.9,21.1,22.1,-3.1,2010,Western,0,0
83,Detroit Pistons,82,30,52,0.366,48.5,97.0,37.3,81.1,46.0,5.8,15.3,37.6,16.7,22.6,73.7,11.4,27.3,38.6,21.1,13.0,7.3,4.0,4.6,19.9,18.8,-3.6,2010,Eastern,0,0
84,Brooklyn Nets,82,24,58,0.293,48.8,94.2,35.6,81.0,44.0,5.6,16.3,34.3,17.4,22.9,75.9,11.1,29.8,40.8,21.0,14.0,5.6,4.7,4.6,22.0,20.0,-6.2,2010,Eastern,0,0
85,Sacramento Kings,82,24,58,0.293,48.4,99.4,38.2,85.1,44.9,5.2,15.6,33.5,17.7,24.2,73.4,13.1,30.8,43.9,20.4,16.1,7.4,4.8,5.7,22.0,21.0,-5.3,2010,Western,0,0
86,Washington Wizards,82,23,59,0.28,48.6,97.3,37.2,84.0,44.3,4.8,14.4,33.2,18.2,24.4,74.5,12.4,29.0,41.3,19.4,15.3,8.1,6.1,5.0,22.6,20.3,-7.4,2010,Eastern,0,0
87,Toronto Raptors,82,22,60,0.268,48.2,99.1,38.3,82.4,46.5,4.2,13.3,31.6,18.2,24.1,75.5,11.7,28.6,40.3,21.9,14.7,7.1,4.3,5.6,22.0,19.8,-6.3,2010,Eastern,0,0
88,Cleveland Cavaliers,82,19,63,0.23199999999999998,48.2,95.5,35.2,81.1,43.4,6.2,18.2,34.2,18.9,25.3,74.5,10.4,29.9,40.3,21.0,14.2,6.6,4.2,6.0,20.1,21.3,-9.0,2010,Eastern,0,0
89,Minnesota Timberwolves,82,17,65,0.207,48.2,101.1,37.7,85.5,44.1,7.2,19.1,37.6,18.5,24.1,76.8,13.2,31.2,44.4,20.1,17.0,7.2,5.1,5.5,22.3,20.9,-6.6,2010,Western,0,0
90,Chicago Bulls,66,50,16,0.758,48.3,96.3,37.4,82.8,45.2,6.3,16.9,37.5,15.2,21.1,72.2,13.9,32.8,46.7,23.1,14.0,6.9,5.9,5.2,17.3,17.7,8.2,2011,Eastern,1,0
91,San Antonio Spurs,66,50,16,0.758,48.3,103.7,39.6,82.8,47.8,8.4,21.3,39.3,16.2,21.6,74.8,10.3,32.6,43.0,23.2,13.6,7.4,4.4,5.0,17.3,18.8,7.2,2011,Western,1,0
92,Oklahoma City Thunder,66,47,19,0.7120000000000001,48.5,103.1,37.3,79.2,47.1,7.2,20.0,35.8,21.3,26.4,80.6,11.0,32.7,43.7,18.5,16.3,7.5,8.2,4.9,20.5,20.0,6.1,2011,Western,1,0
93,Miami Heat,66,46,20,0.6970000000000001,48.6,98.5,37.1,79.0,46.9,5.6,15.6,35.9,18.8,24.2,77.5,10.4,31.2,41.6,20.0,15.2,8.9,5.4,4.2,19.4,20.5,6.0,2011,Eastern,1,1
94,Indiana Pacers,66,42,24,0.636,48.5,97.7,35.7,81.4,43.8,5.9,16.1,36.8,20.4,26.1,78.2,12.5,31.4,43.9,18.6,14.0,7.9,5.4,6.0,21.7,21.6,3.3,2011,Eastern,1,0
95,Memphis Grizzlies,66,41,25,0.621,48.3,95.0,36.7,82.2,44.7,4.2,12.9,32.6,17.3,22.8,75.9,12.6,29.5,42.0,19.5,14.5,9.6,5.2,5.5,19.9,19.3,2.0,2011,Western,1,0
96,Los Angeles Lakers,66,41,25,0.621,48.7,97.3,36.8,80.6,45.7,5.5,16.8,32.6,18.2,24.1,75.6,12.1,34.1,46.2,22.5,15.1,5.9,5.3,4.6,16.8,20.2,1.4,2011,Western,1,0
97,Atlanta Hawks,66,40,26,0.606,49.0,96.6,36.8,81.0,45.4,7.5,20.2,37.0,15.5,21.0,74.0,9.9,31.3,41.2,22.4,14.0,8.1,4.6,4.7,17.8,19.1,3.4,2011,Eastern,1,0
98,Los Angeles Clippers,66,40,26,0.606,48.4,97.5,37.0,81.3,45.5,7.8,21.8,35.7,15.8,23.3,68.0,12.1,29.4,41.6,21.0,13.3,8.4,4.8,4.5,21.2,21.2,2.6,2011,Western,1,0
99,Boston Celtics,66,39,27,0.591,48.3,91.8,35.5,77.1,46.0,5.5,15.0,36.7,15.4,19.8,77.8,7.7,31.1,38.8,23.6,14.8,7.5,5.5,4.6,19.9,18.4,2.5,2011,Eastern,1,0
100,Denver Nuggets,66,38,28,0.5760000000000001,48.6,104.1,39.0,81.9,47.6,6.6,19.9,33.2,19.6,26.7,73.5,11.2,31.9,43.1,24.0,15.4,8.2,5.0,6.7,19.7,22.0,2.9,2011,Western,1,0
101,Orlando Magic,66,37,29,0.561,48.4,94.2,34.5,78.2,44.1,10.2,27.0,37.5,15.1,22.8,66.0,11.2,31.2,42.5,20.0,14.9,6.8,4.2,4.1,17.7,19.8,0.8,2011,Eastern,1,0
102,Utah Jazz,66,36,30,0.545,49.0,99.7,38.2,83.8,45.6,4.1,12.8,32.3,19.1,25.3,75.4,13.0,31.1,44.2,21.8,14.2,8.3,5.8,5.7,21.8,20.7,0.6,2011,Western,1,0
103,Dallas Mavericks,66,36,30,0.545,48.7,95.8,36.3,82.0,44.3,7.5,22.2,33.9,15.6,20.2,77.1,10.1,32.7,42.8,20.9,14.0,8.6,5.1,4.0,18.6,18.4,1.0,2011,Western,1,0
104,New York Knicks,66,36,30,0.545,48.3,97.8,35.8,80.8,44.3,7.8,23.3,33.6,18.3,24.8,74.1,11.3,30.5,41.7,20.1,16.0,9.4,4.2,5.1,21.1,21.8,3.2,2011,Eastern,1,0
105,Philadelphia 76ers,66,35,31,0.53,48.2,93.6,37.4,83.6,44.8,5.3,14.6,36.2,13.5,18.2,74.2,10.7,32.5,43.2,22.0,11.2,8.0,5.2,4.8,17.5,16.2,4.2,2011,Eastern,1,0
106,Houston Rockets,66,34,32,0.515,48.7,98.1,37.7,84.0,44.9,7.2,20.2,35.9,15.4,19.7,78.2,11.7,30.5,42.2,21.3,14.5,7.5,4.8,5.2,20.4,18.4,0.2,2011,Western,0,0
107,Phoenix Suns,66,33,33,0.5,48.0,98.4,37.8,82.5,45.8,6.7,19.6,34.3,16.0,21.2,75.7,10.9,30.8,41.7,22.5,14.1,6.5,5.5,4.4,18.7,19.6,-0.2,2011,Western,0,0
108,Milwaukee Bucks,66,31,35,0.47,48.1,99.0,37.9,85.6,44.3,6.6,19.2,34.5,16.6,21.4,77.4,12.4,30.0,42.5,23.5,14.1,8.3,5.1,4.5,19.3,19.4,0.3,2011,Eastern,0,0
109,Portland Trail Blazers,66,28,38,0.424,48.4,97.2,36.4,82.1,44.3,7.2,20.9,34.6,17.2,21.6,79.6,11.1,29.5,40.7,20.4,14.2,8.0,4.9,4.8,19.0,19.8,-0.6,2011,Western,0,0
110,Minnesota Timberwolves,66,26,40,0.39399999999999996,48.3,97.9,35.7,82.3,43.3,7.2,21.6,33.2,19.4,25.2,77.1,12.1,31.7,43.7,19.5,15.2,6.6,4.4,5.7,18.4,21.7,-2.2,2011,Western,0,0
111,Detroit Pistons,66,25,41,0.379,48.4,90.9,34.7,79.3,43.8,4.8,13.9,34.6,16.6,22.1,75.2,11.7,28.5,40.3,18.7,15.7,7.0,4.2,5.3,19.6,19.4,-4.8,2011,Eastern,0,0
112,Golden State Warriors,66,23,43,0.348,48.2,97.8,37.7,82.5,45.7,7.9,20.5,38.8,14.4,18.7,77.0,9.7,29.5,39.2,22.3,13.9,8.0,5.5,5.0,21.4,16.6,-3.4,2011,Western,0,0
